ticker,cik,concept,xbrl_tag,fiscal_year,period_end,first_filed,lag_days,filed_reliable,original_value,latest_value,restated,qa_status
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivities,2018,2018-12-31,2019-02-19,50,True,2097802000,2098000000,False,FLAG:tag_switch_discontinuity
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2017,2017-12-31,2018-02-23,54,True,-60654000,-60654000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2016,2016-12-31,2017-03-01,60,True,-123829000,-123829000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2015,2015-12-31,2016-02-24,55,True,-524499000,-524499000,False,clean
TSLA,1318605,OperatingCashFlow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,2014,2014-12-31,2015-02-26,57,True,-57337000,-57337000,False,FLAG:tag_switch_discontinuity
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2025,2025-12-31,2026-01-29,29,True,1.08,1.08,False,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2024,2024-12-31,2025-01-30,30,True,2.04,2.04,False,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2023,2023-12-31,2024-01-29,29,True,4.3,4.3,False,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2022,2022-12-31,2023-01-31,31,True,3.62,3.62,False,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2021,2021-12-31,2022-02-07,38,True,4.9,1.63,True,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2020,2020-12-31,2021-02-08,39,True,0.64,0.21,True,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2019,2019-12-31,2020-02-13,44,True,-4.92,-0.98,True,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2018,2018-12-31,2019-02-19,50,True,-5.72,-1.14,True,clean
TSLA,1318605,EPSDiluted,EarningsPerShareDiluted,2017,2017-12-31,2018-02-23,54,True,-11.83,-11.83,False,FLAG:tag_switch_discontinuity
TSLA,1318605,EPSDiluted,EarningsPerShareBasicAndDiluted,2016,2016-12-31,2017-03-01,60,True,-4.68,-4.68,False,clean
TSLA,1318605,EPSDiluted,EarningsPerShareBasicAndDiluted,2015,2015-12-31,2016-02-24,55,True,-6.93,-6.93,False,clean
TSLA,1318605,EPSDiluted,EarningsPerShareBasicAndDiluted,2014,2014-12-31,2015-02-26,57,True,-2.36,-2.36,False,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2025,2025-12-31,2026-01-29,29,True,3528000000,3528000000,False,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2024,2024-12-31,2025-01-30,30,True,3498000000,3498000000,False,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2023,2023-12-31,2024-01-29,29,True,3485000000,3485000000,False,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2022,2022-12-31,2023-01-31,31,True,3475000000,3475000000,False,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2021,2021-12-31,2022-02-07,38,True,1129000000,3386000000,True,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2020,2020-12-31,2021-02-08,39,True,1083000000,3249000000,True,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2019,2019-12-31,2020-02-13,44,True,177000000,887000000,True,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2018,2018-12-31,2019-02-19,50,True,170525000,853000000,True,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2017,2017-12-31,2018-02-23,54,True,165758000,166000000,False,clean
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2016,2016-12-31,2018-02-23,419,False,144212000,144212000,False,FLAG:lag_out_of_range
TSLA,1318605,DilutedShares,WeightedAverageNumberOfDilutedSharesOutstanding,2015,2015-12-31,2018-02-23,785,False,128202000,128202000,False,FLAG:lag_out_of_range
TSLA,1318605,GrossProfit,GrossProfit,2025,2025-12-31,2026-01-29,29,True,17094000000,17094000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2024,2024-12-31,2025-01-30,30,True,17450000000,17450000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2023,2023-12-31,2024-01-29,29,True,17660000000,17660000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2022,2022-12-31,2023-01-31,31,True,20853000000,20853000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2021,2021-12-31,2022-02-07,38,True,13606000000,13606000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2020,2020-12-31,2021-02-08,39,True,6630000000,6630000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2019,2019-12-31,2020-02-13,44,True,4069000000,4069000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2018,2018-12-31,2019-02-19,50,True,4042021000,4042000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2017,2017-12-31,2018-02-23,54,True,2222487000,2223000000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2016,2016-12-31,2017-03-01,60,True,1599257000,1599257000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2015,2015-12-31,2016-02-24,55,True,923503000,923503000,False,clean
TSLA,1318605,GrossProfit,GrossProfit,2014,2014-12-31,2015-02-26,57,True,881671000,881671000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2025,2025-12-31,2026-01-29,29,True,4355000000,4355000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2024,2024-12-31,2025-01-30,30,True,7076000000,7076000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2023,2023-12-31,2024-01-29,29,True,8891000000,8891000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2022,2022-12-31,2023-01-31,31,True,13656000000,13656000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2021,2021-12-31,2022-02-07,38,True,6523000000,6523000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2020,2020-12-31,2021-02-08,39,True,1994000000,1994000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2019,2019-12-31,2020-02-13,44,True,-69000000,-69000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2018,2018-12-31,2019-02-19,50,True,-388073000,-388000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2017,2017-12-31,2018-02-23,54,True,-1632086000,-1632000000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2016,2016-12-31,2017-03-01,60,True,-667340000,-667340000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2015,2015-12-31,2016-02-24,55,True,-716629000,-716629000,False,clean
TSLA,1318605,OperatingIncome,OperatingIncomeLoss,2014,2014-12-31,2015-02-26,57,True,-186689000,-186689000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2025,2025-12-31,2026-01-29,29,True,5278000000,5278000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2024,2024-12-31,2025-01-30,30,True,8990000000,8990000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2023,2023-12-31,2024-01-29,29,True,9973000000,9973000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2022,2022-12-31,2023-01-31,31,True,13719000000,13719000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2021,2021-12-31,2022-02-07,38,True,6343000000,6343000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2020,2020-12-31,2021-02-08,39,True,1154000000,1154000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2019,2019-12-31,2020-02-13,44,True,-665000000,-665000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2018,2018-12-31,2019-02-19,50,True,-1004745000,-1005000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2017,2017-12-31,2018-02-23,54,True,-2209032000,-2209000000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2016,2016-12-31,2017-03-01,60,True,-746348000,-746348000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2015,2015-12-31,2016-02-24,55,True,-875624000,-875624000,False,clean
TSLA,1318605,PretaxIncome,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2014,2014-12-31,2015-02-26,57,True,-284636000,-284636000,False,clean
TSLA,1318605,IncomeTaxExpense,IncomeTaxExpenseBenefit,2025,2025-12-31,2026-01-29,29,True,1423000000,1423000000,False,clean
TSLA,1318605,IncomeTaxExpense,IncomeTaxExpenseBenefit,2024,2024-12-31,2025-01-30,30,True,1837000000,1837000000,False,clean
TSLA,1318605,IncomeTaxExpense,IncomeTaxExpenseBenefit,2023,2023-12-31,2024-01-29,29,True,-5001000000,-5001000000,False,clean
TSLA,1318605,IncomeTaxExpense,IncomeTaxExpenseBenefit,2022,2022-12-31,2023-01-31,31,True,1132000000,1132000000,False,clean
